"TURL","Nombre","Categoria","Dirección","Teléfono","Latitud","Longitud","Imagen"
"","Centro Verde Este - COYS","Centro comunitario","X5006 Córdoba","","-31.437800079270392","-64.11934786720413","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Centro Verde SUR","Centro de reciclaje","Av. Concejal Felipe Belardinelli 4776, X5016 Córdoba","0351 494-8960","-31.46812897902271","-64.19931434010837","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Centro Verde Norte","Centro de reciclaje","Blvd. de los Alemanes 3387, X5147 Córdoba","","-31.3434245367355","-64.21382557894704","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Ecofem","Centro de reciclaje","Av. Leandro N. Alem, X5012 Córdoba","","-31.3875466","-64.1610937","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Cooperativa La VICTORIA","Centro de reciclaje","Unnamed Road, Córdoba","0351 313-0229","-31.3866128786279","-64.24399562138287","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","CENTRO VERDE TELAS - COYS","Almacén","X5017 Córdoba","","-31.4674678","-64.2243691","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Tienda Los Angeles","Tienda de telas","Rivera Indarte 160, X5000 Córdoba","0351 422-2889","-31.4138792","-64.1845687","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Retanil","Tienda de telas","Caseros 3292, X5002AEH Córdoba","0351 480-8984","-31.4051969","-64.2255454","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Indultex","Tienda de telas","Av. Fuerza Aérea Argentina 2195, X5010 Córdoba","0351 466-1093","-31.43074743726737","-64.21779396483404","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Textil Trejo","Tienda de telas","Obispo Trejo 41, X5000 IYA, Córdoba","0351 15-594-2301","-31.416018","-64.185399","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Brufman Textil","Mayorista textil","Alberdi, Av. Colón 3048, X5000EQO Córdoba","0351 521-6329","-31.401887374537253","-64.22039387405398","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Grandes Tiendas Florencia","Tienda de telas","Ituzaingo 230 Ambrosio Olmos 36, San Martín 472, X5000 Córdoba","0351 307-4321","-31.4108426","-64.181782","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Tapicordoba","Tienda de telas","Rivadavia 360, X5000 Córdoba","0351 15-359-0473","-31.41222789226023","-64.18037046277259","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Que Chuchi","Modista","Duarte Quirós 2441, X5000 Córdoba","0351 851-2938","-31.409540377505728","-64.2156357520215","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Textiles del Suquía | Never S.R.L.","Tienda de telas","Pasaje Agustín Pérez 2 X5000GJA CP:, X5000FOB Córdoba","0351 15-731-4443","-31.4058155","-64.1767579","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Ch Tiendas Chamme","Tienda de telas","Ituzaingó 63, X5000 IJA, Córdoba","0351 423-4932","-31.4175382","-64.1815718","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Sederia La Victoria","Tienda de telas","Rivera Indarte 15, X5000JAA Córdoba","0351 217-7952","-31.415794","-64.1856872","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Colores y Texturas","Tienda de telas","Av. Fuerza Aérea Argentina 2417, X5010 Córdoba","0351 719-0312","-31.4310425","-64.2200451","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Ames Textil","Tienda de telas","Av. Juan B Justo 2397 BºALTA, X5001GXB Córdoba","0351 471-0624","-31.3975637","-64.1759638","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","MODA TEXTIL","Tienda de telas","Rosario de Sta. Fe 157, X5000ACC Córdoba","0351 624-8020","-31.4164433","-64.1819526","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Carjox Ropa Deportiva","Tienda de deportes","Duarte Quirós 1717, X5003 Córdoba","0351 815-6162","-31.41207","-64.2084962","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","María Pal","Tienda de ropa","X5000KPC Córdoba AR, Justo José de Urquiza 163, X5000 KPC","0351 441-4024","-31.4109128","-64.1941686","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Entre Telas Las Flores","Tienda de telas","Av. Vélez Sarsfield 3458, X5000 Córdoba","0351 15-358-9622","-31.4498703","-64.2002089","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Galia","Tienda de telas","Deán Funes 85 5000, X5000AAB Córdoba","0351 421-5989","-31.4157492","-64.1851434","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Grandes tiendas Florencia","Tienda de telas","Av. Emilio Olmos 36, X5022 Córdoba","0351 661-2435","-31.4140443","-64.1825996","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Texcor Telas","Tienda de telas","Corrientes 424, X5000 Córdoba","0351 371-4856","-31.421229","-64.1798132","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Que tul telas","Tienda de telas","Av. Monseñor Pablo Cabrera 3960, X5008HIR Córdoba","0351 390-7278","-31.3701471","-64.205447","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Barroco Deco","Tienda de cortinas","Caseros 1244, X5000 Córdoba","0351 325-8602","-31.4134278","-64.2019003","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Imperio Textil Mayorista","Comercio","Ituzaingó 129, X5000IJC Córdoba","0351 424-5329","-31.418373","-64.1817619","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Todo Poliester","Tienda de telas","Rivadavia 322, X5000IPH Córdoba","0351 627-1738","-31.4127739","-64.1810692","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","La General SA","Mayorista textil","Boulevard Dr. Arturo H. Illia 431, Centro, X5000ASE Córdoba","0351 521-6335","-31.422073693997763","-64.17962846127053","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Tía María Retaceria","Tienda de telas","Los Granaderos 2218, Zumarán, Bv. Los Granaderos 2208, X5008ETX Córdoba","0351 15-264-3478","-31.378876","-64.2033057","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Tapicenter","Centro comercial","Rivadavia 369, X5021KEG Córdoba","0351 428-1402","-31.4122391","-64.1809907","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Telas","Tienda de telas","San Jerónimo 2753, X5006IKC Córdoba","0351 15-593-7538","-31.422758","-64.1485162","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Todo Tela","Tienda de telas","X5000 Córdoba","0383 420-2924","-31.4199489","-64.1829524","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Cortinería La Union Textil","Tienda de cortinas","La Rioja 15, X5022 Córdoba","0351 423-7868","-31.4114542","-64.1822771","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
"","Telas Shop","Tienda de telas","Ituzaingó 107, X5000AGF Córdoba","0351 245-8598","-31.418066","-64.1817399","https://maps.google.com/maps/api/staticmap?center=-32.2115978%2C-64.5928352&zoom=8&size=900x900&language=en&sensor=false&key=AIzaSyBoYjeRtfVI0Jd8Q_9mnflo9i4sOYpShB0&signature=KLsudCDUStTVCrWXxRAsHYGMsXQ"
